t	min m/z	max m/z	charge
22	355.027969819	355.032230181	1
22	356.032063795	356.036336205	1
22	357.029657809	357.033942191	1
22	358.035051777	358.039348223	1
22	358.115151296	358.119448704	1
22	359.000945981	359.005254019	1
22	360.003639965	360.007960035	1
22	360.995934011	361.000265989	1
22	361.999627989	362.003972011	1
22	362.077327523	362.081672477	1
22	366.105503354	366.109896646	1
22	369.090985441	369.095414559	1
22	370.094279421	370.098720579	1
22	371.028773814	371.033226186	4
22	371.055673653	371.060126347	1
22	371.278372316	371.282827684	1
22	372.059267631	372.063732369	4
22	372.059267631	372.063732369	1
22	372.290566243	372.295033757	1
22	373.055361654	373.059838346	4
22	373.055361654	373.059838346	1
22	374.05935563	374.06384437	1
22	375.059549629	375.064050371	1
22	381.050213685	381.054786315	1
22	382.054607659	382.059192341	1
22	383.159601029	383.164198971	1
22	383.828897013	383.833502987	3
22	384.164195001	384.168804999	3
22	384.164195001	384.168804999	1
22	385.120089266	385.124710734	1
22	388.156871045	388.161528955	1
22	389.115265294	389.119934706	1
22	390.168258976	390.172941024	1
22	391.175652932	391.180347068	1
22	391.246352508	391.251047492	1
22	392.253746463	392.258453537	1
22	393.051641676	393.056358324	4
22	393.055841651	393.060558349	1
22	393.265040396	393.269759604	1
22	394.057535641	394.062264359	4
22	394.095335414	394.100064586	1
22	395.096929404	395.101670596	1
22	396.051523677	396.056276323	1
22	399.308704133	399.313495867	1
22	400.317398081	400.322201919	1
22	402.194586818	402.199413182	1
22	404.115575292	404.120424708	1
22	413.234520578	413.239479422	1
22	414.999009991	415.003990009	1
22	419.280384303	419.285415697	1
22	420.28247829	420.28752171	1
22	421.297372201	421.302427799	2
22	421.292672229	421.297727771	1
22	421.79916919	421.80423081	2
22	428.848726892	428.853873108	4
22	429.039525747	429.044674253	1
22	430.043319725	430.048480275	1
22	430.84401492	430.84918508	4
22	430.853614863	430.858785137	1
22	431.036113768	431.041286232	1
22	431.858908831	431.864091169	4
22	431.858908831	431.864091169	1
22	432.046807704	432.051992296	1
22	432.843502923	432.848697077	4
22	445.057529639	445.062870361	1
22	445.895524611	445.900875389	4
22	446.062423609	446.067776391	1
22	447.06561759	447.07098241	4
22	447.06561759	447.07098241	1
22	448.067011582	448.072388418	1
22	449.077005522	449.082394478	1
22	459.134645176	459.140154824	1
22	462.090927438	462.096472562	1
22	463.095221412	463.100778588	1
22	464.091815432	464.097384568	1
22	465.0972094	465.1027906	1
22	466.10050338	466.10609662	1
22	467.058197634	467.063802366	1
22	467.801593174	467.807206826	3
22	467.812393109	467.818006891	4
22	468.062391609	468.068008391	1
22	468.660988017	468.666611983	2
22	503.052181669	503.058218331	1
22	503.058281632	503.064318368	1
22	503.064381596	503.070418404	1
22	503.076481523	503.082518477	1
22	503.08858145	503.09461855	1
22	503.094681414	503.100718586	1
22	503.106781341	503.112818659	1
22	503.118881269	503.124918731	1
22	503.130981196	503.137018804	1
22	503.137081159	503.143118841	1
22	503.149181087	503.155218913	1
22	504.053275662	504.059324338	1
22	505.045069711	505.051130289	1
22	505.051169675	505.057230325	1
22	505.1303692	505.1364308	1
22	505.136469163	505.142530837	1
22	505.142569126	505.148630874	1
22	505.14866909	505.15473091	1
22	505.154769053	505.160830947	1
22	505.160869017	505.166930983	1
22	505.16696898	505.17303102	1
22	505.178968908	505.185031092	1
22	505.185068871	505.191131129	1
22	506.045663708	506.051736292	1
22	506.051863671	506.057936329	1
22	506.057963634	506.064036366	1
22	506.064063597	506.070136403	1
22	506.070163561	506.076236439	1
22	506.076263524	506.082336476	1
22	506.082363488	506.088436512	1
22	506.088463451	506.094536549	1
22	506.094563414	506.100636586	1
22	506.100763377	506.106836623	1
22	506.106863341	506.112936659	1
22	506.112963304	506.119036696	1
22	506.119063267	506.125136733	1
22	519.071785551	519.078014449	1
22	519.078185512	519.084414488	1
22	519.084485474	519.090714526	1
22	519.090885436	519.097114564	1
22	519.097185398	519.103414602	1
22	519.10358536	519.10981464	1
22	519.109885322	519.116114678	1
22	519.116285284	519.122514716	1
22	519.122585246	519.128814754	1
22	519.128985207	519.135214793	1
22	519.13528517	519.14151483	1
22	519.141685131	519.147914869	1
22	519.147985093	519.154214907	1
22	519.154385055	519.160614945	1
22	519.160685017	519.166914983	1
22	519.167084979	519.173315021	1
22	519.173384941	519.179615059	1
22	519.179784903	519.186015097	1
22	519.186084865	519.192315135	1
22	519.192484826	519.198715174	1
22	519.198784789	519.205015211	1
22	520.076479522	520.082720478	1
22	520.191078835	520.197321165	1
22	521.077673515	521.083926485	1
22	522.081767491	522.088032509	1
22	522.088167452	522.094432548	1
22	522.184266876	522.190533124	1
22	523.088761449	523.095038551	1
22	523.09516141	523.10143859	1
22	523.101561372	523.107838628	1
22	523.107961333	523.114238667	1
22	523.114461294	523.120738706	1
22	523.120861256	523.127138744	1
22	523.127261218	523.133538782	1
22	523.133661179	523.139938821	1
22	523.14016114	523.14643886	1
22	523.146561102	523.152838898	1
22	523.152961063	523.159238937	1
22	523.159361025	523.165638975	1
22	523.165760987	523.172039013	1
22	523.172260948	523.178539052	1
22	533.142401126	533.148798874	1
22	533.149001087	533.155398913	1
22	533.155601047	533.161998953	1
22	533.162201008	533.168598992	1
22	533.168800968	533.175199032	1
22	533.175400928	533.181799072	1
22	533.182000889	533.188399111	1
22	533.188600849	533.194999151	1
22	533.19520081	533.20159919	1
22	533.201900769	533.208299231	1
22	533.20850073	533.21489927	1
22	533.21510069	533.22149931	1
22	533.221700651	533.228099349	1
22	536.102383366	536.108816634	1
22	536.108983327	536.115416673	1
22	536.115683287	536.122116713	1
22	536.122383246	536.128816754	1
22	536.128983207	536.135416793	1
22	536.135683167	536.142116833	1
22	536.142383126	536.148816874	1
22	536.148983087	536.155416913	1
22	536.155683047	536.162116953	1
22	536.162383006	536.168816994	1
22	536.228982607	536.235417393	1
22	537.10337736	537.10982264	1
22	538.160871015	538.167328985	1
22	538.207870733	538.214329267	1
22	538.214570693	538.221029307	1
22	539.107265337	539.113734663	1
22	539.208064732	539.214535268	1
22	540.109959321	540.116440679	1
22	540.11675928	540.12324072	1
22	540.12345924	540.12994076	1
22	540.130259199	540.136740801	1
22	540.136959159	540.143440841	1
22	540.143659119	540.150140881	1
22	540.150459078	540.156940922	1
22	540.157159038	540.163640962	1
22	540.163958997	540.170441003	1
22	540.170658957	540.177141043	1
22	540.177358916	540.183841084	1
22	540.184158876	540.190641124	1
22	540.190858835	540.197341165	1
22	540.197658795	540.204141205	1
22	550.161599011	550.168200989	1
22	550.168498969	550.175101031	1
22	550.175498927	550.182101073	1
22	550.182398886	550.189001114	1
22	550.189298844	550.195901156	1
22	550.196198803	550.202801197	1
22	550.203198761	550.209801239	1
22	550.21009872	550.21670128	1
22	550.216998678	550.223601322	1
22	550.223998636	550.230601364	1
22	550.230898595	550.237501405	1
22	550.237798553	550.244401447	1
22	550.244798511	550.251401489	1
22	550.25169847	550.25830153	1
22	551.167592975	551.174207025	1
22	551.174492933	551.181107067	1
22	551.181492891	551.188107109	1
22	551.18839285	551.19500715	1
22	551.195392808	551.202007192	1
22	551.202292766	551.208907234	1
22	551.209292724	551.215907276	1
22	551.216192683	551.222807317	1
22	551.223192641	551.229807359	1
22	551.2300926	551.2367074	1
22	551.237092558	551.243707442	1
22	551.243992516	551.250607484	1
22	551.250992474	551.257607526	1
22	577.070137558	577.077062442	1
22	577.077537514	577.084462486	1
22	577.085037469	577.091962531	1
22	577.092437425	577.099362575	1
22	577.09993738	577.10686262	1
22	577.107337335	577.114262665	1
22	577.11483729	577.12176271	1
22	577.122237246	577.129162754	1
22	577.129637201	577.136562799	1
22	577.137137156	577.144062844	1
22	577.144537112	577.151462888	1
22	577.152037067	577.158962933	1
22	577.159437023	577.166362977	1
22	577.166936978	577.173863022	1
22	578.076231522	578.083168478	1
22	593.085241467	593.092358533	1
22	593.092941421	593.100058579	1
22	593.100741374	593.107858626	1
22	593.108441328	593.115558672	1
22	593.116241281	593.123358719	1
22	593.123941235	593.131058765	1
22	593.131741188	593.138858812	1
22	593.139441142	593.146558858	1
22	593.147241095	593.154358905	1
22	593.155041048	593.162158952	1
22	593.162741002	593.169858998	1
22	593.170540955	593.177659045	1
22	593.178240909	593.185359091	1
22	593.186040862	593.193159138	1
22	593.193740816	593.200859184	1
22	593.201540769	593.208659231	1
22	593.209240723	593.216359277	1
22	593.217040676	593.224159324	1
22	593.22484063	593.23195937	1
22	594.086835458	594.093964542	1
22	595.083229479	595.090370521	1
22	596.08982344	596.09697656	1
22	596.199322783	596.206477217	1
22	607.157357034	607.164642966	1
22	607.165356986	607.172643014	1
22	607.173456937	607.180743063	1
22	607.181456889	607.188743111	1
22	607.189456841	607.196743159	1
22	607.197556793	607.204843207	1
22	607.205556745	607.212843255	1
22	607.213556697	607.220843303	1
22	607.221656648	607.228943352	1
22	607.2296566	607.2369434	1
22	607.237656552	607.244943448	1
22	607.245756504	607.253043496	1
22	607.253756456	607.261043544	1
22	608.210950712	608.218249288	1
22	609.154145053	609.161454947	1
22	610.107739332	610.115060668	1
22	610.115839283	610.123160717	1
22	610.123939234	610.131260766	1
22	610.132039186	610.139360814	1
22	610.140139137	610.147460863	1
22	610.148239089	610.155560911	1
22	611.104133353	611.111466647	1
22	611.136633158	611.143966842	1
22	612.111127311	612.118472689	1
22	613.112421303	613.119778697	1
22	624.173754935	624.181245065	1
22	624.182154885	624.189645115	1
22	624.190554834	624.198045166	1
22	624.198854784	624.206345216	1
22	624.207254734	624.214745266	1
22	624.215654684	624.223145316	1
22	624.224054633	624.231545367	1
22	624.232354583	624.239845417	1
22	624.240754533	624.248245467	1
22	624.249154483	624.256645517	1
22	624.257554432	624.265045568	1
22	624.265854382	624.273345618	1
22	624.274254332	624.281745668	1
22	625.1796489	625.1871511	1
22	642.886242659	642.893957341	3
22	642.894942607	642.902657393	3
22	642.903742554	642.911457446	3
22	642.912442502	642.920157498	3
22	642.921242449	642.928957551	3
22	642.929942397	642.937657603	3
22	642.938742344	642.946457656	3
22	642.947442292	642.955157708	3
22	642.956242239	642.963957761	3
22	642.964942187	642.972657813	4
22	642.964942187	642.972657813	3
22	642.973742134	642.981457866	4
22	642.973742134	642.981457866	3
22	642.982442082	642.990157918	4
22	642.982442082	642.990157918	3
22	642.991242029	642.998957971	4
22	642.991242029	642.998957971	3
22	643.000041977	643.007758023	4
22	643.000041977	643.007758023	3
22	643.008741924	643.016458076	4
22	651.085293465	651.093106535	1
22	651.094293411	651.102106589	1
22	651.103193357	651.111006643	1
22	651.112093304	651.119906696	1
22	651.120993251	651.128806749	1
22	651.129893197	651.137706803	1
22	651.138893143	651.146706857	1
22	651.14779309	651.15560691	1
22	651.156693036	651.164506964	1
22	651.165592983	651.173407017	1
22	651.174592929	651.182407071	1
22	651.183492876	651.191307124	1
22	651.192392822	651.200207178	1
22	651.201292769	651.209107231	1
22	652.130187195	652.138012805	1
22	652.139087142	652.146912858	1
22	652.148087088	652.155912912	1
22	652.156987035	652.164812965	1
22	652.165986981	652.173813019	1
22	652.174886927	652.182713073	1
22	652.183886873	652.191713127	1
22	667.100097375	667.108102625	1
22	667.10939732	667.11740268	1
22	667.118597264	667.126602736	1
22	667.127897209	667.135902791	1
22	667.137097153	667.145102847	1
22	667.146397098	667.154402902	1
22	667.155597042	667.163602958	1
22	667.164896987	667.172903013	1
22	667.174096931	667.182103069	1
22	667.183396876	667.191403124	1
22	667.19259682	667.20060318	1
22	667.201896765	667.209903235	1
22	667.211096709	667.219103291	1
22	667.220396654	667.228403346	1
22	667.229596598	667.237603402	1
22	667.238896543	667.246903457	1
22	667.248096487	667.256103513	1
22	668.100291374	668.108308626	1
22	668.109591318	668.117608682	1
22	668.118891263	668.126908737	1
22	668.128091207	668.136108793	1
22	668.137391152	668.145408848	1
22	668.146691096	668.154708904	1
22	668.155891041	668.163908959	1
22	668.165190985	668.173209015	1
22	668.174490929	668.182509071	1
22	668.183790873	668.191809127	1
22	668.192990818	668.201009182	1
22	668.202290762	668.210309238	1
22	668.211590706	668.219609294	1
22	668.220890651	668.228909349	1
22	668.230090595	668.238109405	1
22	668.23939054	668.24740946	1
22	669.093485415	669.101514585	1
22	681.157313032	681.165486968	1
22	681.166812975	681.174987025	1
22	681.176412917	681.184587083	1
22	681.18591286	681.19408714	1
22	681.195512802	681.203687198	1
22	681.205012745	681.213187255	1
22	681.214612688	681.222787312	1
22	681.224112631	681.232287369	1
22	681.233712573	681.241887427	1
22	681.243212516	681.251387484	1
22	681.252812459	681.260987541	1
22	681.262312402	681.270487598	1
22	681.271912344	681.280087656	1
22	681.281412287	681.289587713	1
22	682.160607012	682.168792988	1
22	684.125795221	684.134004779	1
22	684.135395163	684.143604837	1
22	684.144995105	684.153204895	1
22	684.154695047	684.162904953	1
22	684.279594298	684.287805702	1
22	685.126089219	685.134310781	1
22	685.135689161	685.143910839	1
22	685.145289104	685.153510896	1
22	685.154989045	685.163210955	1
22	685.280088295	685.288311705	1
22	686.118883262	686.127116738	1
22	687.133077177	687.141322823	1
22	698.19251082	698.20088918	1
22	698.20241076	698.21078924	1
22	698.212310701	698.220689299	1
22	698.222210642	698.230589358	1
22	698.232210582	698.240589418	1
