t	min m/z	max m/z	charge
22	369.695981811	369.700418189	4
22	369.695981811	369.700418189	2
22	369.947080304	369.951519696	4
22	374.238554555	374.243045445	2
22	374.238554555	374.243045445	1
22	374.740351544	374.744848456	2
22	381.708909733	381.713490267	2
22	381.708909733	381.713490267	1
22	381.873208747	381.877791253	3
22	382.208906733	382.213493267	3
22	384.706491747	384.711108253	2
22	386.213682704	386.218317296	4
22	387.461475217	387.466124783	4
22	387.461475217	387.466124783	2
22	387.71267371	387.71732629	4
22	388.223670644	388.228329356	2
22	388.223670644	388.228329356	1
22	388.724967636	388.729632364	2
22	388.724967636	388.729632364	1
22	389.22596463	389.23063537	2
22	391.213552705	391.218247295	4
22	399.58920245	399.59399755	3
22	399.736401567	399.741198433	4
22	399.736401567	399.741198433	2
22	399.987200062	399.991999938	4
22	399.987200062	399.991999938	2
22	400.199598788	400.204401212	4
22	400.235798571	400.240601429	4
22	400.91099452	400.91580548	3
22	406.53426078	406.53913922	3
22	406.53426078	406.53913922	1
22	406.868958772	406.873841228	3
22	406.868958772	406.873841228	1
22	407.203656763	407.208543237	3
22	407.536954764	407.541845236	3
22	408.563448605	408.568351395	3
22	411.540330743	411.545269257	3
22	419.228584613	419.233615387	2
22	420.195678811	420.200721189	4
22	423.479859106	423.484940894	4
22	423.479859106	423.484940894	2
22	423.730357603	423.735442397	4
22	423.730357603	423.735442397	2
22	423.980956099	423.986043901	4
22	426.065643591	426.070756409	3
22	429.23572457	429.24087543	3
22	429.23572457	429.24087543	2
22	429.23572457	429.24087543	1
22	429.401223577	429.406376423	3
22	429.401223577	429.406376423	2
22	429.567622579	429.572777421	3
22	429.567622579	429.572777421	2
22	429.734821576	429.739978424	3
22	429.734821576	429.739978424	2
22	429.902120572	429.907279428	3
22	431.398411594	431.403588406	3
22	431.398411594	431.403588406	2
22	431.398411594	431.403588406	1
22	431.564410598	431.569589402	3
22	431.564410598	431.569589402	2
22	431.734709576	431.739890424	3
22	431.899908585	431.905091415	2
22	431.993408024	431.998591976	4
22	432.067207581	432.072392419	3
22	445.116429285	445.121770715	1
22	448.745307512	448.750692488	2
22	448.745307512	448.750692488	1
