mzbin,feature,cluster,scan
355.07135,1,1,1
356.07135,1,1,1
357.07135,1,1,1
358.1191,1,1,1
356.07135,2,1,1
357.07135,2,1,1
358.1191,2,1,1
359.10195,2,1,1
357.07135,3,1,1
358.1191,3,1,1
359.10195,3,1,1
360.10195,3,1,1
358.1191,4,1,1
359.10195,4,1,1
360.10195,4,1,1
361.10195,4,1,1
359.10195,5,1,1
360.10195,5,1,1
361.10195,5,1,1
362.05965,5,1,1
360.10195,6,1,1
361.10195,6,1,1
362.05965,6,1,1
363.09545,6,1,1
361.10195,7,1,1
362.05965,7,1,1
363.09545,7,1,1
362.05965,8,1,1
363.09545,8,1,1
366.10955,9,2,1
367.11905,9,2,1
369.1196,9,2,1
369.1196,10,2,1
370.12365,10,2,1
371.98095,10,2,1
370.12365,11,2,1
371.98095,11,2,1
373.13845,11,2,1
371.98095,12,2,1
371.98095,13,2,1
373.13845,13,2,1
373.35765,13,2,1
371.98095,14,2,1
373.13845,14,2,1
374.13845,14,2,1
371.98095,15,2,1
373.13845,15,2,1
374.13845,15,2,1
375.1231,15,2,1
371.98095,16,2,1
373.35765,16,2,1
371.98095,17,2,1
373.35765,17,2,1
373.13845,18,2,1
373.35765,18,2,1
374.13845,18,2,1
373.13845,19,2,1
374.13845,19,2,1
375.1231,19,2,1
376.082,19,2,1
374.13845,20,2,1
375.1231,20,2,1
376.082,20,2,1
375.1231,21,2,1
376.082,21,2,1
381.08245,22,3,1
382.08275,22,3,1
383.1075,22,3,1
384.1381,22,3,1
382.08275,23,3,1
383.1075,23,3,1
384.1381,23,3,1
385.1381,23,3,1
383.1075,24,3,1
384.1381,24,3,1
385.1381,24,3,1
383.86345,25,3,1
384.1381,25,3,1
385.1381,25,3,1
384.1381,26,3,1
385.1381,26,3,1
388.20635,27,4,1
389.1856,27,4,1
390.1852,27,4,1
391.2222,27,4,1
389.1856,28,4,1
390.1852,28,4,1
391.2222,28,4,1
392.2222,28,4,1
390.1852,29,4,1
391.2222,29,4,1
392.2222,29,4,1
393.20615,29,4,1
391.2222,30,4,1
392.2222,30,4,1
393.20615,30,4,1
394.26915,30,4,1
392.2222,31,4,1
393.20615,31,4,1
394.26915,31,4,1
395.2071,31,4,1
393.20615,32,4,1
394.0821,32,4,1
394.26915,32,4,1
393.20615,33,4,1
394.0821,33,4,1
395.2071,33,4,1
396.1145,33,4,1
393.20615,34,4,1
394.26915,34,4,1
395.2071,34,4,1
394.0821,35,4,1
394.26915,35,4,1
395.2071,35,4,1
395.2071,36,4,1
396.1145,36,4,1
397.1145,36,4,1
396.1145,37,4,1
397.1145,37,4,1
399.3475,38,5,1
400.3475,38,5,1
402.2056,39,6,1
403.217,39,6,1
404.1704,39,6,1
405.1704,39,6,1
404.1704,40,6,1
405.1704,40,6,1
408.05225,41,7,1
409.08445,41,7,1
410.08445,41,7,1
409.08445,42,7,1
410.08445,42,7,1
413.26625,43,8,1
414.26625,43,8,1
419.31515,44,9,1
420.3163,44,9,1
421.32155,44,9,1
422.32155,44,9,1
420.3163,45,9,1
421.32155,45,9,1
422.32155,45,9,1
421.32155,46,9,1
422.32155,46,9,1
428.90375,47,10,1
429.12175,47,10,1
430.1491,47,10,1
429.12175,48,10,1
430.1491,48,10,1
431.10775,48,10,1
432.10775,48,10,1
430.1491,49,10,1
431.10775,49,10,1
432.10775,49,10,1
433.10915,49,10,1
430.88735,50,10,1
431.10775,50,10,1
431.88735,50,10,1
432.10775,50,10,1
430.88735,51,10,1
431.88735,51,10,1
432.88715,51,10,1
431.10775,52,10,1
432.10775,52,10,1
433.10915,52,10,1
431.88735,53,10,1
432.10775,53,10,1
432.88715,53,10,1
433.10915,53,10,1
431.88735,54,10,1
432.88715,54,10,1
434.8895,54,10,1
432.10775,55,10,1
433.10915,55,10,1
432.88715,56,10,1
433.10915,56,10,1
440.7266,57,11,1
441.25755,57,11,1
445.1207,58,12,1
446.13955,58,12,1
447.13955,58,12,1
448.1207,58,12,1
445.93355,59,12,1
446.13955,59,12,1
447.13955,59,12,1
447.39355,59,12,1
446.13955,60,12,1
447.13955,60,12,1
448.1207,60,12,1
449.12065,60,12,1
447.13955,61,12,1
447.39355,61,12,1
448.1207,61,12,1
447.13955,62,12,1
448.1207,62,12,1
449.12065,62,12,1
450.11645,62,12,1
448.1207,63,12,1
449.12065,63,12,1
450.11645,63,12,1
449.12065,64,12,1
450.11645,64,12,1
455.1909,65,13,1
456.1909,65,13,1
459.1717,66,14,1
460.1717,66,14,1
462.14715,66,14,1
462.14715,67,14,1
463.147,67,14,1
464.147,67,14,1
465.147,67,14,1
463.147,68,14,1
464.147,68,14,1
465.147,68,14,1
466.14965,68,14,1
464.147,69,14,1
465.147,69,14,1
466.14965,69,14,1
467.1261,69,14,1
465.147,70,14,1
466.14965,70,14,1
467.1261,70,14,1
468.1285666665,70,14,1
466.14965,71,14,1
467.1261,71,14,1
468.1285666665,71,14,1
469.2195333335,71,14,1
467.1261,72,14,1
468.1285666665,72,14,1
469.2195333335,72,14,1
467.8369,73,14,1
468.1285666665,73,14,1
468.5090166665,73,14,1
468.7612,73,14,1
469.2195333335,73,14,1
467.8369,74,14,1
468.1285666665,74,14,1
468.5090166665,74,14,1
468.7612,74,14,1
469.2195333335,74,14,1
468.1285666665,75,14,1
468.5090166665,75,14,1
468.7612,75,14,1
469.2195333335,75,14,1
468.1285666665,76,14,1
469.2195333335,76,14,1
468.5090166665,77,14,1
468.7612,77,14,1
469.2195333335,77,14,1
468.5090166665,78,14,1
469.2195333335,78,14,1
468.5090166665,79,14,1
469.2195333335,79,14,1
468.7612,80,14,1
469.2195333335,80,14,1
469.2195333335,81,14,1
469.2195333335,82,14,1
469.2195333335,83,14,1
503.1067,84,15,1
504.10735,84,15,1
505.12105,84,15,1
506.12105,84,15,1
504.10735,85,15,1
505.12105,85,15,1
506.12105,85,15,1
507.12025,85,15,1
505.12105,86,15,1
506.12105,86,15,1
507.12025,86,15,1
508.1523,86,15,1
506.12105,87,15,1
507.12025,87,15,1
508.1523,87,15,1
507.12025,88,15,1
507.4085666665,88,15,1
507.77645,88,15,1
508.1523,88,15,1
507.12025,89,15,1
507.77645,89,15,1
508.1523,89,15,1
507.12025,90,15,1
508.1523,90,15,1
507.4085666665,91,15,1
507.77645,91,15,1
508.1523,91,15,1
507.77645,92,15,1
508.1523,92,15,1
519.13835,93,16,1
520.13835,93,16,1
521.13835,93,16,1
522.13835,93,16,1
520.13835,94,16,1
521.13835,94,16,1
522.13835,94,16,1
523.14005,94,16,1
521.13835,95,16,1
522.13835,95,16,1
523.14005,95,16,1
522.13835,96,16,1
523.14005,96,16,1
536.1655,97,17,1
537.1655,97,17,1
538.1655,97,17,1
539.1655,97,17,1
537.1655,98,17,1
538.1655,98,17,1
539.1655,98,17,1
540.16675,98,17,1
538.1655,99,17,1
539.1655,99,17,1
540.16675,99,17,1
541.1563,99,17,1
539.1655,100,17,1
540.16675,100,17,1
541.1563,100,17,1
540.16675,101,17,1
541.1563,101,17,1
550.21685,102,18,1
551.21685,102,18,1
577.12935,103,19,1
578.1287,103,19,1
579.13325,103,19,1
578.1287,104,19,1
579.13325,104,19,1
593.1585,105,20,1
594.1585,105,20,1
595.1575,105,20,1
596.1575,105,20,1
597.1575,105,20,1
594.1585,106,20,1
595.1575,106,20,1
596.1575,106,20,1
597.1575,106,20,1
595.1575,107,20,1
596.1575,107,20,1
597.1575,107,20,1
596.1575,108,20,1
597.1575,108,20,1
610.18015,109,21,1
611.18015,109,21,1
612.18015,109,21,1
613.18015,109,21,1
614.18015,109,21,1
611.18015,110,21,1
612.18015,110,21,1
613.18015,110,21,1
614.18015,110,21,1
612.18015,111,21,1
613.18015,111,21,1
614.18015,111,21,1
613.18015,112,21,1
614.18015,112,21,1
624.2403,113,22,1
625.2403,113,22,1
642.9469,114,23,1
643.2385666665,114,23,1
642.9469,115,23,1
643.2385666665,115,23,1
651.1472,116,24,1
652.1474,116,24,1
