scan,minmz,maxmz,charge
0,358.692247834,358.696552166,2
0,360.945734313,360.950065687,4
0,360.945734313,360.950065687,2
0,361.19623281,361.20056719,4
0,361.19623281,361.20056719,2
0,361.446931305,361.451268695,4
0,367.722393652,367.726806348,2
0,367.938092358,367.942507642,4
0,368.190590843,368.195009157,3
0,368.525588833,368.530011167,3
0,369.695981811,369.700418189,4
0,374.225154636,374.229645364,4
0,374.225154636,374.229645364,2
0,374.475953131,374.480446869,4
0,383.21930067,383.22389933,4
0,383.21930067,383.22389933,2
0,383.469899167,383.474500833,4
0,383.469899167,383.474500833,2
0,383.720197665,383.724802335,4
0,385.697085804,385.701714196,4
0,385.948584295,385.953215705,2
0,386.204082762,386.208717238,1
0,387.207376742,387.212023258,4
0,401.890088645,401.894911355,3
0,405.759465429,405.764334571,2
0,405.759465429,405.764334571,1
0,406.26096242,406.26583758,2
0,419.742981527,419.748018473,2
0,431.741309537,431.746490463,4
0,431.741309537,431.746490463,2
0,431.992108032,431.997291968,4
0,436.262182411,436.267417589,2
0,436.262182411,436.267417589,1
0,436.763079406,436.768320594,2
0,436.763079406,436.768320594,1
0,437.264376398,437.269623602,2
0,438.245570511,438.250829489,2
0,440.211158717,440.216441283,2
0,440.7140557,440.7193443,2
0,443.214440697,443.219759303,3
0,443.761937412,443.767262588,2
0,443.761937412,443.767262588,1
0,444.263434403,444.268765597,2
0,445.116029288,445.121370712,1
0,458.444249318,458.449750682,1
0,463.910416521,463.915983479,3
0,464.245414511,464.250985489,2
0,466.559700625,466.565299375,3
0,466.893298623,466.898901377,3
0,468.457089241,468.462710759,1
0,468.962386209,468.968013791,4
0,468.962386209,468.968013791,2
0,468.962386209,468.968013791,1
0,469.21308470500003,469.218715295,4
0,469.21308470500003,469.218715295,2
0,469.463083205,469.468716795,4
0,469.463083205,469.468716795,2
0,469.713681701,469.719318299,4
0,471.557270639,471.562929361,3
0,471.557270639,471.562929361,2
0,471.724969633,471.730630367,2
0,471.891768632,471.897431368,3
0,480.780215301,480.785984699,2
0,480.780215301,480.785984699,1
