mzbin,feature,cluster,charge
355.0677502045,1,1,1
356.0711052045,1,1,1
357.07019921,1,1,1
358.07355421,1,1,1
356.0711052045,2,1,1
357.07019921,2,1,1
358.07355421,2,1,1
359.0560737885,2,1,1
357.07019921,3,1,1
358.07355421,3,1,1
359.0560737885,3,1,1
360.0564237735,3,1,1
358.07355421,4,1,1
359.0560737885,4,1,1
360.0564237735,4,1,1
361.05537379199995,4,1,1
359.0560737885,6,1,1
360.0564237735,6,1,1
361.05537379199995,6,1,1
362.051054256,6,1,1
360.0564237735,7,1,1
361.05537379199995,7,1,1
362.051054256,7,1,1
361.05537379199995,8,1,1
362.051054256,8,1,1
362.051054256,9,1,1
362.051054256,10,1,1
369.11985016,11,2,1
369.11985016,12,2,1
370.1232501605,12,2,1
371.105800472,12,2,1
372.109155472,12,2,1
370.1232501605,13,2,1
371.105800472,13,2,1
372.109155472,13,2,1
373.1243993805,13,2,1
371.105800472,14,2,4
371.314438969,14,2,4
372.109155472,14,2,4
372.317793969,14,2,4
371.105800472,15,2,1
372.109155472,15,2,1
373.1243993805,15,2,1
374.12775438050005,15,2,1
371.314438969,16,2,1
372.317793969,16,2,1
373.3207043335,16,2,1
372.109155472,17,2,4
372.317793969,17,2,4
373.1243993805,17,2,4
373.3207043335,17,2,4
372.109155472,18,2,1
373.1243993805,18,2,1
374.12775438050005,18,2,1
375.101323707,18,2,1
372.317793969,19,2,1
373.3207043335,19,2,1
373.1243993805,20,2,4
373.3207043335,20,2,4
374.12775438050005,20,2,4
373.1243993805,21,2,1
374.12775438050005,21,2,1
375.101323707,21,2,1
374.12775438050005,22,2,1
375.101323707,22,2,1
375.101323707,23,2,1
381.0804501675,24,3,1
382.0829501805,24,3,1
383.0863051805,24,3,1
382.0829501805,25,3,1
383.0863051805,25,3,1
384.197705511,26,4,1
383.86345016949997,27,4,3
384.197705511,27,4,3
384.197705511,28,4,1
389.1462246615,29,5,1
390.14957966149996,29,5,1
391.182311368,29,5,1
389.1462246615,30,5,1
390.14957966149996,30,5,1
391.182311368,30,5,1
392.185666368,30,5,1
390.14957966149996,31,5,1
391.182311368,31,5,1
392.185666368,31,5,1
391.182311368,32,5,1
392.185666368,32,5,1
391.28395021200004,33,6,1
392.28738072249996,33,6,1
393.29271124449997,33,6,1
394.2960662445,33,6,1
392.28738072249996,34,6,1
393.29271124449997,34,6,1
394.2960662445,34,6,1
393.08115018800004,35,6,4
393.29271124449997,35,6,4
394.084505188,35,6,4
394.2960662445,35,6,4
393.08115018800004,36,6,1
394.084505188,36,6,1
396.088223676,36,6,1
393.29271124449997,37,6,1
394.2960662445,37,6,1
394.084505188,38,6,4
394.2960662445,38,6,4
396.088223676,39,6,1
397.08685517799995,39,6,1
399.3454002055,40,7,1
400.34875520549997,40,7,1
402.21645009099996,41,8,1
403.219805091,41,8,1
404.1462501705,42,9,1
405.14960517049997,42,9,1
409.1098001865,43,10,1
410.11315518649997,43,10,1
409.1098001865,44,10,1
410.11315518649997,44,10,1
413.2662502035,45,11,1
414.26960520349996,45,11,1
419.3174502075,46,12,1
420.3201247015,46,12,1
421.324230726,46,12,1
422.327585726,46,12,1
420.3201247015,47,12,1
421.324230726,47,12,1
422.327585726,47,12,1
421.324230726,48,12,1
422.327585726,48,12,1
428.87035011399996,49,13,4
429.0911689165,49,13,4
430.0945239165,49,13,4
429.0911689165,50,13,1
430.0945239165,50,13,1
431.08909925349997,50,13,1
432.110899517,50,13,1
430.0945239165,51,13,1
431.08909925349997,51,13,1
432.110899517,51,13,1
433.114254517,51,13,1
430.8825502165,52,13,4
431.08909925349997,52,13,4
431.886980733,52,13,4
432.110899517,52,13,4
430.8825502165,53,13,1
431.886980733,53,13,1
432.886774734,53,13,1
431.08909925349997,54,13,1
432.110899517,54,13,1
433.114254517,54,13,1
431.886980733,55,13,4
432.110899517,55,13,4
432.886774734,55,13,4
433.114254517,55,13,4
431.886980733,56,13,1
432.886774734,56,13,1
434.90041517400005,56,13,1
432.110899517,57,13,1
433.114254517,57,13,1
432.886774734,58,13,4
433.114254517,58,13,4
445.11565033299996,59,14,1
446.119005333,59,14,1
447.12236033299996,59,14,1
448.1254238045,59,14,1
445.9108000755,60,14,4
446.119005333,60,14,4
447.12236033299996,60,14,4
446.119005333,61,14,1
447.12236033299996,61,14,1
448.1254238045,61,14,1
449.1221042745,61,14,1
447.12236033299996,62,14,4
447.352038948,62,14,4
448.1254238045,62,14,4
447.12236033299996,63,14,1
448.1254238045,63,14,1
449.1221042745,63,14,1
450.12303477,63,14,1
448.1254238045,64,14,1
449.1221042745,64,14,1
450.12303477,64,14,1
449.1221042745,65,14,1
450.12303477,65,14,1
455.190900219,66,15,1
456.19425521899996,66,15,1
459.17170020599997,67,16,1
460.175055206,67,16,1
462.154823837,67,16,1
462.154823837,68,17,1
463.15030532000003,68,17,1
464.15074931749996,68,17,1
465.1541043175,68,17,1
463.15030532000003,69,17,1
464.15074931749996,69,17,1
465.1541043175,69,17,1
466.1499847825,69,17,1
464.15074931749996,70,17,1
465.1541043175,70,17,1
466.1499847825,70,17,1
467.125723858,70,17,1
465.1541043175,71,17,1
466.1499847825,71,17,1
467.125723858,71,17,1
468.127554359,71,17,1
466.1499847825,72,17,1
467.125723858,72,17,1
468.127554359,72,17,1
469.152886361,72,17,1
467.125723858,73,17,1
468.127554359,73,17,1
469.152886361,73,17,1
468.127554359,74,17,3
468.4432502125,74,17,3
469.152886361,74,17,3
469.445309792,74,17,3
467.842350163,75,17,4
468.127554359,75,17,4
469.152886361,75,17,4
468.127554359,76,17,3
468.4432502125,76,17,3
469.152886361,76,17,3
469.445309792,76,17,3
468.127554359,77,17,1
469.152886361,77,17,1
468.4432502125,78,17,4
468.69375024550004,78,17,4
468.94547508100004,78,17,4
469.152886361,78,17,4
469.445309792,78,17,4
468.4432502125,79,17,2
468.94547508100004,79,17,2
469.445309792,79,17,2
468.4432502125,80,17,1
469.445309792,80,17,1
468.69375024550004,81,17,4
468.94547508100004,81,17,4
469.152886361,81,17,4
469.445309792,81,17,4
468.69375024550004,82,17,3
468.94547508100004,82,17,3
468.69375024550004,83,17,3
469.152886361,83,17,3
469.445309792,83,17,3
468.69375024550004,84,17,2
469.152886361,84,17,2
468.94547508100004,85,17,4
469.152886361,85,17,4
469.445309792,85,17,4
468.94547508100004,86,17,3
469.152886361,86,17,3
468.94547508100004,87,17,2
469.445309792,87,17,2
469.152886361,88,17,4
469.445309792,88,17,4
469.152886361,89,17,3
469.445309792,89,17,3
504.108874806,90,18,1
505.109499312,90,18,1
506.1084738285,90,18,1
504.108874806,91,18,1
505.109499312,91,18,1
506.1084738285,91,18,1
503.07640001799996,92,18,1
504.108874806,92,18,1
505.109499312,92,18,1
506.1084738285,92,18,1
503.088500018,93,18,1
504.108874806,93,18,1
505.109499312,93,18,1
506.1084738285,93,18,1
503.0976,94,18,1
504.108874806,94,18,1
505.109499312,94,18,1
506.1084738285,94,18,1
503.10670001799997,95,18,1
504.108874806,95,18,1
505.109499312,95,18,1
506.1084738285,95,18,1
503.118800018,96,18,1
504.108874806,96,18,1
505.109499312,96,18,1
506.1084738285,96,18,1
503.1279,97,18,1
504.108874806,97,18,1
505.109499312,97,18,1
506.1084738285,97,18,1
503.137000018,98,18,1
504.108874806,98,18,1
505.109499312,98,18,1
506.1084738285,98,18,1
504.108874806,99,18,1
505.109499312,99,18,1
506.1084738285,99,18,1
504.108874806,100,18,1
505.109499312,100,18,1
506.1084738285,100,18,1
504.108874806,101,18,1
505.109499312,101,18,1
506.1084738285,101,18,1
507.107754314,101,18,1
504.108874806,102,18,1
505.109499312,102,18,1
506.1084738285,102,18,1
506.1084738285,103,18,1
507.107754314,103,18,1
505.109499312,104,18,1
506.1084738285,104,18,1
507.107754314,104,18,1
506.1084738285,105,18,1
507.107754314,105,18,1
506.1084738285,106,18,1
507.107754314,106,18,1
506.1084738285,107,18,1
507.107754314,107,18,1
506.1084738285,108,18,1
507.107754314,108,18,1
506.1084738285,109,18,1
507.107754314,109,18,1
506.1084738285,110,18,1
507.107754314,110,18,1
506.1084738285,111,18,1
507.107754314,111,18,1
507.107754314,112,19,3
507.452827011,112,19,3
507.7206401775,112,19,3
507.107754314,113,19,3
507.452827011,113,19,3
507.107754314,114,19,3
507.452827011,114,19,3
507.107754314,115,19,3
507.452827011,115,19,3
507.107754314,116,19,3
507.452827011,116,19,3
507.107754314,117,19,3
507.452827011,117,19,3
507.107754314,118,19,3
507.452827011,118,19,3
507.107754314,119,19,3
507.452827011,119,19,3
507.107754314,120,19,3
507.452827011,120,19,3
507.107754314,121,18,3
507.107754314,122,18,3
507.452827011,123,19,4
507.7206401775,123,19,4
508.21878661899996,123,19,4
507.7206401775,124,19,2
508.21878661899996,124,19,2
508.21878661899996,125,19,1
507.452827011,126,19,4
507.7206401775,126,19,4
508.21878661899996,126,19,4
507.7206401775,127,19,2
508.21878661899996,127,19,2
508.21878661899996,128,19,1
