mzbin,feature,cluster,charge
358.6944,1,1,2
359.1960775,1,1,2
360.9479,2,2,4
361.1985686235,2,2,4
361.449337246,2,2,4
361.700175996,2,2,4
360.9479,3,2,2
361.449337246,3,2,2
361.1985686235,4,2,4
361.449337246,4,2,4
361.700175996,4,2,4
361.1985686235,5,2,2
361.700175996,5,2,2
361.449337246,6,2,4
361.700175996,6,2,4
367.7246,7,3,2
368.22627750000004,7,3,2
367.9403,8,4,4
368.19197013250005,8,4,4
368.19197013250005,9,4,3
368.52752683849997,9,4,3
368.861978505,9,4,3
368.52752683849997,10,4,3
368.861978505,10,4,3
369.69820000000004,11,5,4
369.94903875,11,5,4
374.2274,12,6,4
374.4782186225,12,6,4
374.7290573725,12,6,4
374.2274,13,6,2
374.7290573725,13,6,2
374.4782186225,14,6,4
374.7290573725,14,6,4
383.22159999999997,15,7,4
383.4723186235,15,7,4
383.7228872475,15,7,4
383.97372599749997,15,7,4
383.22159999999997,16,7,2
383.7228872475,16,7,2
383.4723186235,17,7,4
383.7228872475,17,7,4
383.97372599749997,17,7,4
383.4723186235,18,7,2
383.97372599749997,18,7,2
383.7228872475,19,7,4
383.97372599749997,19,7,4
385.69939999999997,20,8,4
385.95057012949997,20,8,4
386.4522476295,20,8,4
385.95057012949997,21,8,2
386.4522476295,21,8,2
387.4582394015,21,8,2
386.20640000000003,22,8,1
387.20972449,22,8,1
387.20972449,23,8,4
387.4582394015,23,8,4
401.8925,24,9,3
402.226951667,24,9,3
405.76189999999997,25,10,2
406.26348724549996,25,10,2
406.7651647455,25,10,2
405.76189999999997,26,10,1
406.7651647455,26,10,1
406.26348724549996,27,10,2
406.7651647455,27,10,2
419.7455,28,11,2
420.2471775,28,11,2
431.7439,29,12,4
431.9947186225,29,12,4
432.2455573725,29,12,4
431.7439,30,12,2
432.2455573725,30,12,2
431.9947186225,31,12,4
432.2455573725,31,12,4
436.26480000000004,32,13,2
436.76608724749997,32,13,2
437.2675744935,32,13,2
437.7692519935,32,13,2
436.26480000000004,33,13,1
437.2675744935,33,13,1
436.76608724749997,34,13,2
437.2675744935,34,13,2
437.7692519935,34,13,2
436.76608724749997,35,13,1
437.7692519935,35,13,1
437.2675744935,36,13,2
437.7692519935,36,13,2
438.2482,37,14,2
438.7498775,37,14,2
440.2138,38,15,2
440.7160902585,38,15,2
441.21776775850003,38,15,2
440.7160902585,39,15,2
441.21776775850003,39,15,2
443.21709999999996,40,16,3
443.5515516665,40,16,3
443.7646,41,17,2
444.2661872455,41,17,2
444.7678647455,41,17,2
443.7646,42,17,1
444.7678647455,42,17,1
444.2661872455,43,17,2
444.7678647455,43,17,2
445.1187,44,18,1
446.122055,44,18,1
458.447,45,19,1
459.450355,45,19,1
463.91319999999996,46,20,3
464.247926838,46,20,3
464.247926838,47,20,2
464.7498775,47,20,2
466.5625,48,21,3
466.8965248325,48,21,3
467.230976499,48,21,3
466.8965248325,49,21,3
467.230976499,49,21,3
468.4599,50,22,1
469.465067766,50,22,1
468.9652,51,22,4
469.215968623,51,22,4
469.465067766,51,22,4
469.717105871,51,22,4
469.967944621,51,22,4
468.9652,52,22,2
469.465067766,52,22,2
469.967944621,52,22,2
468.9652,53,22,1
469.967944621,53,22,1
469.215968623,54,22,4
469.465067766,54,22,4
469.717105871,54,22,4
469.967944621,54,22,4
469.215968623,55,22,2
469.717105871,55,22,2
469.465067766,56,22,4
469.717105871,56,22,4
469.967944621,56,22,4
469.465067766,57,22,2
469.967944621,57,22,2
469.717105871,58,22,4
469.967944621,58,22,4
471.56010000000003,59,23,3
471.89457683700005,59,23,3
472.22924092,59,23,3
471.56010000000003,60,23,2
472.0617775,60,23,2
471.7278,61,23,2
472.22924092,61,23,2
471.89457683700005,62,23,3
472.22924092,62,23,3
480.7831,63,24,2
481.284487247,63,24,2
481.786124492,63,24,2
482.287801992,63,24,2
480.7831,64,24,1
481.786124492,64,24,1
480.928,65,25,1
481.93105132849996,65,25,1
481.284487247,66,24,2
481.786124492,66,24,2
482.287801992,66,24,2
481.284487247,67,24,1
482.287801992,67,24,1
481.5963,68,25,3
481.93105132849996,68,25,3
482.599655,68,25,3
481.5963,69,25,1
482.599655,69,25,1
481.786124492,70,24,2
482.287801992,70,24,2
487.6251,71,26,4
487.876920133,71,26,4
488.12775888299996,71,26,4
487.6251,72,26,2
488.12775888299996,72,26,2
487.876920133,73,26,4
488.12775888299996,73,26,4
489.28589999999997,74,27,2
489.7875775,74,27,2
490.2532,75,28,3
490.5876516665,75,28,3
491.2537745065,75,28,3
492.256625836,75,28,3
491.2537745065,76,28,1
492.256625836,76,28,1
493.2598321955,76,28,1
491.9189,77,28,3
492.256625836,77,28,3
493.2598321955,77,28,3
492.594,78,28,3
492.928476837,78,28,3
493.2598321955,78,28,3
492.928476837,79,28,3
493.2598321955,79,28,3
495.5161,80,29,4
495.766868623,80,29,4
496.017707373,80,29,4
495.5161,81,29,2
496.017707373,81,29,2
495.766868623,82,29,4
496.017707373,82,29,4
500.96029999999996,83,30,3
501.2937748355,83,30,3
501.6282265025,83,30,3
501.9626781695,83,30,3
500.96029999999996,84,30,1
501.9626781695,84,30,1
501.2937748355,85,30,3
501.6282265025,85,30,3
501.9626781695,85,30,3
503.30211103550005,85,30,3
501.6282265025,86,30,3
501.9626781695,86,30,3
503.30211103550005,86,30,3
502.23159999999996,87,31,3
502.5660516665,87,31,3
503.30211103550005,88,30,1
504.30805499999997,88,30,1
508.2439,89,32,3
508.57687483899997,89,32,3
508.91132650550003,89,32,3
508.57687483899997,90,32,3
